---- SJF ----
Core: 1, Time: 1, Task: t4
Core: 2, Time: 1, Task: t3
Core: 3, Time: 1, Task: t1
Core: 4, Time: 1, Task: t2
Core: 3, Time: 2, Task: t1
Core: 1, Time: 2, Task: t4
Core: 2, Time: 2, Task: t3
Core: 4, Time: 2, Task: t2
Core: 1, Time: 3, Task: Idle
Core: 3, Time: 3, Task: t1
Core: 4, Time: 3, Task: t2
Core: 2, Time: 3, Task: t3
Core: 2, Time: 4, Task: t3
Core: 1, Time: 4, Task: Idle
Core: 4, Time: 4, Task: t2
Core: 3, Time: 4, Task: t1
Core: 3, Time: 5, Task: t1
Core: 1, Time: 5, Task: Idle
Core: 4, Time: 5, Task: t2
Core: 2, Time: 5, Task: Idle
Core: 1, Time: 6, Task: Idle
Core: 3, Time: 6, Task: Idle
Core: 4, Time: 6, Task: t2
Core: 2, Time: 6, Task: Idle
Core: 3, Time: 7, Task: Idle
Core: 1, Time: 7, Task: Idle
Core: 2, Time: 7, Task: Idle
Core: 4, Time: 7, Task: t2
Core: 2, Time: 8, Task: Idle
Core: 1, Time: 8, Task: Idle
Core: 3, Time: 8, Task: Idle
Core: 4, Time: 8, Task: t2
Core: 3, Time: 9, Task: Idle
Core: 2, Time: 9, Task: Idle
Core: 4, Time: 9, Task: Idle
Core: 1, Time: 9, Task: Idle
