---- SJF ----
Core: 1, Time: 1, Task: t5
Core: 2, Time: 1, Task: t4
Core: 3, Time: 1, Task: Idle
Core: 4, Time: 1, Task: Idle
Core: 1, Time: 2, Task: t5
Core: 3, Time: 2, Task: Idle
Core: 2, Time: 2, Task: t4
Core: 4, Time: 2, Task: Idle
Core: 1, Time: 3, Task: t3
Core: 2, Time: 3, Task: t4
Core: 4, Time: 3, Task: Idle
Core: 3, Time: 3, Task: t2
Core: 1, Time: 4, Task: t3
Core: 2, Time: 4, Task: t4
Core: 4, Time: 4, Task: Idle
Core: 3, Time: 4, Task: t2
Core: 2, Time: 5, Task: Idle
Core: 4, Time: 5, Task: Idle
Core: 3, Time: 5, Task: t2
Core: 1, Time: 5, Task: t3
Core: 1, Time: 6, Task: t3
Core: 4, Time: 6, Task: Idle
Core: 3, Time: 6, Task: t2
Core: 2, Time: 6, Task: Idle
Core: 4, Time: 7, Task: Idle
Core: 1, Time: 7, Task: t7
Core: 2, Time: 7, Task: Idle
Core: 3, Time: 7, Task: t2
Core: 2, Time: 8, Task: Idle
Core: 1, Time: 8, Task: t7
Core: 3, Time: 8, Task: t2
Core: 4, Time: 8, Task: Idle
Core: 4, Time: 9, Task: Idle
Core: 2, Time: 9, Task: Idle
Core: 1, Time: 9, Task: t7
Core: 3, Time: 9, Task: t2
Core: 1, Time: 10, Task: t7
Core: 3, Time: 10, Task: t2
Core: 2, Time: 10, Task: Idle
Core: 4, Time: 10, Task: Idle
Core: 4, Time: 11, Task: Idle
Core: 2, Time: 11, Task: Idle
Core: 3, Time: 11, Task: Idle
Core: 1, Time: 11, Task: t6
Core: 2, Time: 12, Task: Idle
Core: 1, Time: 12, Task: t6
Core: 3, Time: 12, Task: Idle
Core: 4, Time: 12, Task: Idle
Core: 2, Time: 13, Task: Idle
Core: 4, Time: 13, Task: Idle
Core: 1, Time: 13, Task: t6
Core: 3, Time: 13, Task: Idle
Core: 2, Time: 14, Task: Idle
Core: 3, Time: 14, Task: Idle
Core: 1, Time: 14, Task: t6
Core: 4, Time: 14, Task: Idle
Core: 2, Time: 15, Task: Idle
Core: 1, Time: 15, Task: t6
Core: 4, Time: 15, Task: Idle
Core: 3, Time: 15, Task: Idle
Core: 2, Time: 16, Task: Idle
Core: 3, Time: 16, Task: Idle
Core: 1, Time: 16, Task: t6
Core: 4, Time: 16, Task: Idle
Core: 2, Time: 17, Task: Idle
Core: 4, Time: 17, Task: Idle
Core: 3, Time: 17, Task: Idle
Core: 1, Time: 17, Task: t1
Core: 2, Time: 18, Task: Idle
Core: 1, Time: 18, Task: t1
Core: 3, Time: 18, Task: Idle
Core: 4, Time: 18, Task: Idle
Core: 2, Time: 19, Task: Idle
Core: 1, Time: 19, Task: t1
Core: 3, Time: 19, Task: Idle
Core: 4, Time: 19, Task: Idle
Core: 2, Time: 20, Task: Idle
Core: 4, Time: 20, Task: Idle
Core: 1, Time: 20, Task: t1
Core: 3, Time: 20, Task: Idle
Core: 2, Time: 21, Task: Idle
Core: 4, Time: 21, Task: Idle
Core: 1, Time: 21, Task: t1
Core: 3, Time: 21, Task: Idle
Core: 2, Time: 22, Task: Idle
Core: 3, Time: 22, Task: Idle
Core: 4, Time: 22, Task: Idle
Core: 1, Time: 22, Task: t1
Core: 2, Time: 23, Task: Idle
Core: 4, Time: 23, Task: Idle
Core: 3, Time: 23, Task: Idle
Core: 1, Time: 23, Task: t1
Core: 2, Time: 24, Task: Idle
Core: 3, Time: 24, Task: Idle
Core: 1, Time: 24, Task: t1
Core: 4, Time: 24, Task: Idle
Core: 2, Time: 25, Task: Idle
Core: 3, Time: 25, Task: Idle
Core: 4, Time: 25, Task: Idle
Core: 1, Time: 25, Task: t1
Core: 2, Time: 26, Task: Idle
Core: 1, Time: 26, Task: Idle
